"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Spain (ES)","03.01.2020 17:00 - 03.01.2020 18:00 (UTC)","301","0","0","8453","691","224","0","0","0","","0","1537","6450","0","7098","14","111","30","238","0","3300"
"Spain (ES)","03.01.2020 18:00 - 03.01.2020 19:00 (UTC)","306","0","0","8502","695","225","0","0","0","","0","1552","6403","0","7100","14","109","18","241","0","3789"
"Spain (ES)","03.01.2020 19:00 - 03.01.2020 20:00 (UTC)","300","0","0","8491","695","223","0","0","0","","0","1521","6521","0","7100","11","108","18","244","0","4179"
"Spain (ES)","03.01.2020 20:00 - 03.01.2020 21:00 (UTC)","314","0","0","8355","693","213","0","0","0","","0","1592","5991","0","7100","12","107","18","247","0","4426"
"Spain (ES)","03.01.2020 21:00 - 03.01.2020 22:00 (UTC)","308","0","0","8018","697","204","0","0","0","","2","1537","5037","0","7101","12","104","18","248","0","4471"
"Spain (ES)","03.01.2020 22:00 - 03.01.2020 23:00 (UTC)","293","0","0","7188","687","196","0","0","0","","0","1368","4656","0","7101","11","105","18","242","0","4310"
"Spain (ES)","03.01.2020 23:00 - 04.01.2020 00:00 (UTC)","295","0","0","5971","692","148","0","0","0","","3","1317","4165","0","7101","11","103","18","247","0","4134"
"Spain (ES)","04.01.2020 00:00 - 04.01.2020 01:00 (UTC)","296","0","0","5375","683","146","0","0","0","","583","1246","3870","0","7101","12","103","17","246","0","4139"
"Spain (ES)","04.01.2020 01:00 - 04.01.2020 02:00 (UTC)","297","0","0","5354","660","147","0","0","0","","2073","1223","3996","0","7101","14","103","17","246","0","4270"
"Spain (ES)","04.01.2020 02:00 - 04.01.2020 03:00 (UTC)","289","0","0","5331","653","147","0","0","0","","2743","1212","3845","0","7101","13","101","17","247","0","4271"
"Spain (ES)","04.01.2020 03:00 - 04.01.2020 04:00 (UTC)","293","0","0","5297","653","147","0","0","0","","3120","1218","3942","0","7101","13","99","15","247","0","4301"
"Spain (ES)","04.01.2020 04:00 - 04.01.2020 05:00 (UTC)","291","0","0","5169","653","152","0","0","0","","3188","1216","4006","0","7102","14","100","14","250","0","4264"
"Spain (ES)","04.01.2020 05:00 - 04.01.2020 06:00 (UTC)","288","0","0","5296","653","153","0","0","0","","2944","1213","4061","0","7100","14","101","14","247","0","4419"
